#long1  long2  lav    a1   err1   a2   err2   a3   err3   a4   err4   a5   err5   a6   err6   a7   err7   chisq
# R      R      R      R      R      R      R      R      R      R      R      R      R      R      R      R      R      R
  65.995    64.540    65.268     10.1    0.2   38.5    0.8    5.3    0.3   16.4    0.7   11.9    0.2    1.9    0.2   40.5    3.2    7.7
  64.535    63.080    63.808     12.6    0.3   27.0    2.2    7.5    0.3   24.3    1.0   11.9    0.2    2.9    0.1   32.3    1.3    2.0
  63.075    61.620    62.348      9.3    0.4   36.1    3.6    7.4    0.4    5.7    0.8   17.7    1.4    0.5    0.2   42.3   22.9   29.2
  61.615    60.160    60.888     10.5    0.2   38.6    1.5    8.3    0.2    4.9    0.4   16.4    0.7    1.3    0.2   29.4    2.4    4.3
  60.155    58.700    59.428     12.8    0.3   39.5    1.6    9.8    0.2    6.8    0.3   18.5    0.4    1.2    0.1   34.2    2.0    1.8
  58.695    57.240    57.967      9.4    0.2   34.3    1.4    5.7    0.3   13.9    0.8   10.7    0.4    2.9    0.2   27.8    1.7    7.0
  57.235    55.780    56.507     12.5    0.3   46.0    0.9    8.8    0.2   10.5    0.6   16.1    0.3    1.0    0.2   30.8    3.1    3.7
  55.775    54.320    55.048     14.5    0.3   15.8    2.8   11.7    0.7   39.5    3.2   11.7    0.5    2.6    0.4   28.4    2.8   15.8
  54.315    52.860    53.588      8.6    0.3   31.4    1.9    6.4    0.4    8.9    0.9   12.8    0.8    1.1    0.3   26.7    5.3   14.4
  52.855    51.400    52.128      9.0    0.2   22.6    0.9    4.0    0.4   23.9    1.0    8.9    0.2    3.5    0.2   19.9    0.8    3.5
  51.395    49.940    50.668     10.2    0.2   38.9    0.8    6.5    0.3   12.7    0.5   13.1    0.3    1.7    0.2   28.2    1.7    2.9
  49.935    48.480    49.208     11.6    0.2   19.6    1.6    4.9    0.8   27.3    1.1   10.2    0.2    4.4    0.3   27.1    1.1    3.3
  48.475    47.020    47.748     14.9    0.3   52.0    4.2    8.2    0.3   19.4    1.2   16.8    0.3    1.3    0.2   42.8    5.1    9.2
  47.015    45.560    46.287     11.8    0.2   34.9    2.1    5.8    0.5   26.9    1.1   11.5    0.2    2.1    0.2   31.7    2.5    6.5
  45.555    44.100    44.827     12.2    0.2   33.3    2.0    5.7    0.5   30.3    1.2   11.1    0.2    2.9    0.2   30.3    1.8    5.9
  44.095    42.640    43.368     12.0    0.5   31.8    2.5    5.4    0.9   22.6    1.8   12.1    0.5    2.9    0.3   31.5    3.2   21.3
  42.635    41.180    41.908     12.7    0.3   34.2    2.1    6.4    0.5   21.3    1.3   13.4    0.5    2.3    0.3   33.3    2.7   15.4
  41.175    39.720    40.448     12.5    0.2   31.8    3.2    7.0    0.6   14.3    0.9   16.1    0.6    1.5    0.2   42.9    6.0   16.7
  39.715    38.260    38.988     10.4    0.4   33.3    2.7    5.6    0.6   16.6    1.3   12.8    0.5    1.4    0.2   34.7    5.6   21.4
  38.255    36.800    37.528     10.3    0.4   34.2    2.7    6.1    0.5   15.9    1.6   11.8    0.5    2.2    0.3   30.8    3.7   22.8
  36.795    35.340    36.068     11.1    0.2   27.7    2.8    7.7    0.5   13.1    1.0   13.7    0.5    1.7    0.2   32.5    3.3    9.2
  35.335    33.880    34.607      9.7    0.2   31.8    1.3    7.6    0.3    7.9    0.5   15.4    0.6    0.5    0.1   44.7    9.8    6.6
  33.875    32.420    33.147     13.0    0.3   43.1    0.9    9.7    0.2    8.6    0.3   18.2    0.4    0.5    0.1   50.3    7.0    2.2
  32.415    30.960    31.688     13.3    0.3   35.5    1.4    8.1    0.3   15.4    0.6   14.3    0.3    3.2    0.2   30.5    1.2    1.9
  30.955    29.500    30.228     11.3    0.2   29.4    1.2    6.3    0.4   20.7    0.8   12.3    0.2    1.7    0.1   33.3    2.0    2.5
  29.495    28.040    28.768     10.3    0.2   28.2    1.1    7.2    0.3   12.2    0.7   12.4    0.5    2.1    0.2   31.7    1.9    4.4
  28.035    26.580    27.308     10.7    0.2   23.5    0.9    7.6    0.3   13.5    0.5   13.5    0.3    1.4    0.1   27.8    1.7    2.2
  26.575    25.120    25.847     12.1    0.2   29.1    1.2    9.8    0.2    6.4    0.4   21.6    0.9    0.5    0.1   42.0    8.4    2.5
  25.115    23.660    24.388     18.0    0.4   28.3    2.3   12.2    0.2   14.8    0.6   20.8    0.4    2.5    0.2   29.3    1.8    2.3
  23.655    22.200    22.928     11.8    0.2   35.8    1.4    8.6    0.2    8.9    0.4   17.4    0.7    0.6    0.1   53.4    9.6    4.0
